日付,原水温度 (℃),1段目ROﾓｼﾞｭｰﾙ入口圧力 (MPa),1段目ROﾓｼﾞｭｰﾙ出口圧力 (MPa),1段目ROﾓｼﾞｭｰﾙ差圧 (MPa),1段目透過水水質 (mS/m),1段目透過水温度 (℃),1段目透過水水量 (L/min),濃縮水排水量 (L/min),1段目ﾘﾀｰﾝ水量 (L/min),原水回収率 (%),ﾎﾟﾝﾌﾟ周波数(P2) (Hz),TF,RO膜交換
2000/1/1,27.34344341,0.517312865,0.578612305,0.031324308,0.149554277,27.98013325,29.60347683,13.09910393,30.08100565,66.78531183,51.59828614,1.013530298,-0.061415856
2000/1/2,25.97218777,0.610079991,0.532545127,0.020194591,0.163377991,22.73714967,30.49735543,16.69088126,30.35777949,65.60329101,49.16364645,1.146407383,-0.04022948
2000/1/3,27.66947727,0.406527903,0.709770221,0.021434497,0.190407514,24.63443685,29.50212486,15.61749262,26.33353887,68.03365771,51.36192393,1.087055606,0.015365071
2000/1/4,29.55980396,0.530407751,0.404262009,0.033383855,0.223448313,26.53672701,29.42323761,15.30999429,27.0831918,65.32216901,50.96060006,1.156168062,-0.027632029
2000/1/5,25.76511234,0.473854189,0.479702246,0.027273491,0.141107431,27.18274895,30.01773169,14.86423623,30.94722935,63.71367677,49.38440349,0.828976039,0.008808845
2000/1/6,25.7651478,0.600973448,0.714101334,0.025299845,0.173136439,28.69351708,29.1834256,15.60790073,32.38799805,67.86967915,46.86244365,0.830040234,0.001855361
2000/1/7,29.6811328,0.689945262,0.570767472,0.035407969,0.184204058,26.96253336,31.22079907,15.64934338,27.68264065,68.5007966,47.81673885,1.026160028,-0.048939788
2000/1/8,27.92807288,0.653859686,0.648547321,0.031186885,0.165648561,26.97844851,31.45503657,15.60432949,29.99839107,64.98247405,48.22661178,1.145354551,0.020803135
2000/1/9,25.25692933,0.341341519,0.768913456,0.033623463,0.192093384,27.37423977,29.73979502,16.20362533,31.03356002,69.54513406,47.88236515,0.947877172,0.009960723
2000/1/10,27.44244903,0.798440053,0.485640148,0.028976731,0.161126296,26.33167535,29.06762994,16.40793411,29.95807412,67.28601622,51.68354757,0.867917375,0.002090296
